description,industry,level,size,line_code,value
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Wood & paper product,2,total,B1709,51
Factors that limit or prevent the business's use of paid cloud computing services: other factors,"Printing, publishing, & recorded media",2,total,B1709,3
Factors that limit or prevent the business's use of paid cloud computing services: other factors,"Petroleum, coal, chemical, & associated product",2,total,B1709,18
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Non-metallic mineral product,2,total,B1709,9
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Metal product,2,total,B1709,48
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Transport and industrial machinery & equipment,2,total,B1709,45
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Other machinery & equipment,2,total,B1709,9
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Other manufacturing,2,total,B1709,3
Factors that limit or prevent the business's use of paid cloud computing services: other factors,"Electricity, gas, water, & waste services",1,total,B1709,12
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Construction,1,total,B1709,228
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Wholesale trade,1,total,B1709,153
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Machinery & equipment wholesaling,2,total,B1709,54
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Other wholesale trade,2,total,B1709,96
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Retail trade,1,total,B1709,291
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Accommodation & food services,1,total,B1709,108
Factors that limit or prevent the business's use of paid cloud computing services: other factors,"Transport, postal, & warehousing",1,total,B1709,66
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Information media & telecommunications,1,total,B1709,21
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Publishing,2,total,B1709,9
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Motion picture,2,total,B1709,0
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Telecommunications,2,total,B1709,9
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Financial & insurance services,1,total,B1709,21
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Finance,2,total,B1709,9
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Insurance,2,total,B1709,3
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Auxiliary,2,total,B1709,9
Factors that limit or prevent the business's use of paid cloud computing services: other factors,"Rental, hiring, & real estate services",1,total,B1709,0
Factors that limit or prevent the business's use of paid cloud computing services: other factors,"Professional, scientific, & technical services",1,total,B1709,264
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Computer systems design,2,total,B1709,33
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Other professional scientific,2,total,B1709,234
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Administrative & support services,1,total,B1709,69
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Education & training,1,total,B1709,36
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Health care & social assistance,1,total,B1709,114
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Arts & recreation services,1,total,B1709,24
Factors that limit or prevent the business's use of paid cloud computing services: other factors,Other services,1,total,B1709,33
Factors that limit or prevent the business's use of paid cloud computing services: other factors,total,0,total,B1709,1863
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,total,0,6–19 employees,B1710,16971
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,total,0,20–49 employees,B1710,4245
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,total,0,50–99 employees,B1710,1149
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,total,0,100+ employees,B1710,834
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Agriculture, forestry, & fishing",1,total,B1710,1992
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Agriculture,2,total,B1710,1335
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Commercial fishing,2,total,B1710,27
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Forestry & logging,2,total,B1710,123
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Agriculture, forestry, & fishing support services",2,total,B1710,507
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Mining,1,total,B1710,48
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Manufacturing,1,total,B1710,2682
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Food, beverage, & tobacco",2,total,B1710,504
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Textile, clothing, footwear, & leather",2,total,B1710,132
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Wood & paper product,2,total,B1710,273
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Printing, publishing, & recorded media",2,total,B1710,123
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Petroleum, coal, chemical, & associated product",2,total,B1710,243
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Non-metallic mineral product,2,total,B1710,108
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Metal product,2,total,B1710,501
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Transport and industrial machinery & equipment,2,total,B1710,453
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Other machinery & equipment,2,total,B1710,135
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Other manufacturing,2,total,B1710,213
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Electricity, gas, water, & waste services",1,total,B1710,96
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Construction,1,total,B1710,3360
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Wholesale trade,1,total,B1710,1398
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Machinery & equipment wholesaling,2,total,B1710,381
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Other wholesale trade,2,total,B1710,1017
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Retail trade,1,total,B1710,2142
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Accommodation & food services,1,total,B1710,2799
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Transport, postal, & warehousing",1,total,B1710,837
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Information media & telecommunications,1,total,B1710,240
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Publishing,2,total,B1710,102
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Motion picture,2,total,B1710,81
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Telecommunications,2,total,B1710,54
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Financial & insurance services,1,total,B1710,342
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Finance,2,total,B1710,81
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Insurance,2,total,B1710,21
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Auxiliary,2,total,B1710,243
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Rental, hiring, & real estate services",1,total,B1710,558
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,"Professional, scientific, & technical services",1,total,B1710,2877
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Computer systems design,2,total,B1710,588
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Other professional scientific,2,total,B1710,2292
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Administrative & support services,1,total,B1710,930
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Education & training,1,total,B1710,609
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Health care & social assistance,1,total,B1710,1308
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Arts & recreation services,1,total,B1710,318
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,Other services,1,total,B1710,660
Factors that limit or prevent the business's use of paid cloud computing services: no factors limit or prevent this business's use of paid cloud computing services,total,0,total,B1710,23202
ICT Support Service: warranty or service support from ICT providers,total,0,6–19 employees,B1801,7974
ICT Support Service: warranty or service support from ICT providers,total,0,20–49 employees,B1801,2445
ICT Support Service: warranty or service support from ICT providers,total,0,50–99 employees,B1801,783
ICT Support Service: warranty or service support from ICT providers,total,0,100+ employees,B1801,837
ICT Support Service: warranty or service support from ICT providers,"Agriculture, forestry, & fishing",1,total,B1801,816
ICT Support Service: warranty or service support from ICT providers,Agriculture,2,total,B1801,579
ICT Support Service: warranty or service support from ICT providers,Commercial fishing,2,total,B1801,6
ICT Support Service: warranty or service support from ICT providers,Forestry & logging,2,total,B1801,51
ICT Support Service: warranty or service support from ICT providers,"Agriculture, forestry, & fishing support services",2,total,B1801,180
ICT Support Service: warranty or service support from ICT providers,Mining,1,total,B1801,30
ICT Support Service: warranty or service support from ICT providers,Manufacturing,1,total,B1801,1347
ICT Support Service: warranty or service support from ICT providers,"Food, beverage, & tobacco",2,total,B1801,315
ICT Support Service: warranty or service support from ICT providers,"Textile, clothing, footwear, & leather",2,total,B1801,48
ICT Support Service: warranty or service support from ICT providers,Wood & paper product,2,total,B1801,150
ICT Support Service: warranty or service support from ICT providers,"Printing, publishing, & recorded media",2,total,B1801,54
ICT Support Service: warranty or service support from ICT providers,"Petroleum, coal, chemical, & associated product",2,total,B1801,99
ICT Support Service: warranty or service support from ICT providers,Non-metallic mineral product,2,total,B1801,60
ICT Support Service: warranty or service support from ICT providers,Metal product,2,total,B1801,264
ICT Support Service: warranty or service support from ICT providers,Transport and industrial machinery & equipment,2,total,B1801,186
ICT Support Service: warranty or service support from ICT providers,Other machinery & equipment,2,total,B1801,63
ICT Support Service: warranty or service support from ICT providers,Other manufacturing,2,total,B1801,111
ICT Support Service: warranty or service support from ICT providers,"Electricity, gas, water, & waste services",1,total,B1801,48
ICT Support Service: warranty or service support from ICT providers,Construction,1,total,B1801,1179
ICT Support Service: warranty or service support from ICT providers,Wholesale trade,1,total,B1801,783
ICT Support Service: warranty or service support from ICT providers,Machinery & equipment wholesaling,2,total,B1801,225
ICT Support Service: warranty or service support from ICT providers,Other wholesale trade,2,total,B1801,558
ICT Support Service: warranty or service support from ICT providers,Retail trade,1,total,B1801,1665
ICT Support Service: warranty or service support from ICT providers,Accommodation & food services,1,total,B1801,1569
ICT Support Service: warranty or service support from ICT providers,"Transport, postal, & warehousing",1,total,B1801,297
ICT Support Service: warranty or service support from ICT providers,Information media & telecommunications,1,total,B1801,144
ICT Support Service: warranty or service support from ICT providers,Publishing,2,total,B1801,36
ICT Support Service: warranty or service support from ICT providers,Motion picture,2,total,B1801,63
ICT Support Service: warranty or service support from ICT providers,Telecommunications,2,total,B1801,45
ICT Support Service: warranty or service support from ICT providers,Financial & insurance services,1,total,B1801,210
ICT Support Service: warranty or service support from ICT providers,Finance,2,total,B1801,63
ICT Support Service: warranty or service support from ICT providers,Insurance,2,total,B1801,21
ICT Support Service: warranty or service support from ICT providers,Auxiliary,2,total,B1801,123
ICT Support Service: warranty or service support from ICT providers,"Rental, hiring, & real estate services",1,total,B1801,300
ICT Support Service: warranty or service support from ICT providers,"Professional, scientific, & technical services",1,total,B1801,1401
ICT Support Service: warranty or service support from ICT providers,Computer systems design,2,total,B1801,312
ICT Support Service: warranty or service support from ICT providers,Other professional scientific,2,total,B1801,1092
ICT Support Service: warranty or service support from ICT providers,Administrative & support services,1,total,B1801,432
ICT Support Service: warranty or service support from ICT providers,Education & training,1,total,B1801,270
ICT Support Service: warranty or service support from ICT providers,Health care & social assistance,1,total,B1801,897
ICT Support Service: warranty or service support from ICT providers,Arts & recreation services,1,total,B1801,156
ICT Support Service: warranty or service support from ICT providers,Other services,1,total,B1801,492
ICT Support Service: warranty or service support from ICT providers,total,0,total,B1801,12039
ICT Support Service: contracted external ICT support,total,0,6–19 employees,B1802,19425
ICT Support Service: contracted external ICT support,total,0,20–49 employees,B1802,5811
ICT Support Service: contracted external ICT support,total,0,50–99 employees,B1802,1794
ICT Support Service: contracted external ICT support,total,0,100+ employees,B1802,1380
ICT Support Service: contracted external ICT support,"Agriculture, forestry, & fishing",1,total,B1802,1623
ICT Support Service: contracted external ICT support,Agriculture,2,total,B1802,1143
ICT Support Service: contracted external ICT support,Commercial fishing,2,total,B1802,27
ICT Support Service: contracted external ICT support,Forestry & logging,2,total,B1802,111
ICT Support Service: contracted external ICT support,"Agriculture, forestry, & fishing support services",2,total,B1802,339
ICT Support Service: contracted external ICT support,Mining,1,total,B1802,81
ICT Support Service: contracted external ICT support,Manufacturing,1,total,B1802,3633
ICT Support Service: contracted external ICT support,"Food, beverage, & tobacco",2,total,B1802,696
ICT Support Service: contracted external ICT support,"Textile, clothing, footwear, & leather",2,total,B1802,177
ICT Support Service: contracted external ICT support,Wood & paper product,2,total,B1802,402
ICT Support Service: contracted external ICT support,"Printing, publishing, & recorded media",2,total,B1802,138
ICT Support Service: contracted external ICT support,"Petroleum, coal, chemical, & associated product",2,total,B1802,306
ICT Support Service: contracted external ICT support,Non-metallic mineral product,2,total,B1802,144
ICT Support Service: contracted external ICT support,Metal product,2,total,B1802,717
ICT Support Service: contracted external ICT support,Transport and industrial machinery & equipment,2,total,B1802,630
ICT Support Service: contracted external ICT support,Other machinery & equipment,2,total,B1802,138
ICT Support Service: contracted external ICT support,Other manufacturing,2,total,B1802,282
ICT Support Service: contracted external ICT support,"Electricity, gas, water, & waste services",1,total,B1802,144
ICT Support Service: contracted external ICT support,Construction,1,total,B1802,4176
ICT Support Service: contracted external ICT support,Wholesale trade,1,total,B1802,2139
ICT Support Service: contracted external ICT support,Machinery & equipment wholesaling,2,total,B1802,639
ICT Support Service: contracted external ICT support,Other wholesale trade,2,total,B1802,1497
ICT Support Service: contracted external ICT support,Retail trade,1,total,B1802,3297
ICT Support Service: contracted external ICT support,Accommodation & food services,1,total,B1802,2244
ICT Support Service: contracted external ICT support,"Transport, postal, & warehousing",1,total,B1802,1122
ICT Support Service: contracted external ICT support,Information media & telecommunications,1,total,B1802,225
ICT Support Service: contracted external ICT support,Publishing,2,total,B1802,78
ICT Support Service: contracted external ICT support,Motion picture,2,total,B1802,90
ICT Support Service: contracted external ICT support,Telecommunications,2,total,B1802,54
ICT Support Service: contracted external ICT support,Financial & insurance services,1,total,B1802,501
ICT Support Service: contracted external ICT support,Finance,2,total,B1802,147
ICT Support Service: contracted external ICT support,Insurance,2,total,B1802,27
ICT Support Service: contracted external ICT support,Auxiliary,2,total,B1802,327
ICT Support Service: contracted external ICT support,"Rental, hiring, & real estate services",1,total,B1802,750
ICT Support Service: contracted external ICT support,"Professional, scientific, & technical services",1,total,B1802,3531
ICT Support Service: contracted external ICT support,Computer systems design,2,total,B1802,276
ICT Support Service: contracted external ICT support,Other professional scientific,2,total,B1802,3255
ICT Support Service: contracted external ICT support,Administrative & support services,1,total,B1802,1005
ICT Support Service: contracted external ICT support,Education & training,1,total,B1802,600
ICT Support Service: contracted external ICT support,Health care & social assistance,1,total,B1802,2022
ICT Support Service: contracted external ICT support,Arts & recreation services,1,total,B1802,294
ICT Support Service: contracted external ICT support,Other services,1,total,B1802,1017
ICT Support Service: contracted external ICT support,total,0,total,B1802,28410
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,total,0,6–19 employees,B1803,2673
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,total,0,20–49 employees,B1803,1671
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,total,0,50–99 employees,B1803,939
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,total,0,100+ employees,B1803,1281
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Agriculture, forestry, & fishing",1,total,B1803,153
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Agriculture,2,total,B1803,93
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Commercial fishing,2,total,B1803,3
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Forestry & logging,2,total,B1803,12
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Agriculture, forestry, & fishing support services",2,total,B1803,45
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Mining,1,total,B1803,33
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Manufacturing,1,total,B1803,759
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Food, beverage, & tobacco",2,total,B1803,168
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Textile, clothing, footwear, & leather",2,total,B1803,21
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Wood & paper product,2,total,B1803,99
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Printing, publishing, & recorded media",2,total,B1803,27
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Petroleum, coal, chemical, & associated product",2,total,B1803,123
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Non-metallic mineral product,2,total,B1803,33
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Metal product,2,total,B1803,96
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Transport and industrial machinery & equipment,2,total,B1803,87
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Other machinery & equipment,2,total,B1803,72
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Other manufacturing,2,total,B1803,33
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Electricity, gas, water, & waste services",1,total,B1803,60
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Construction,1,total,B1803,291
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Wholesale trade,1,total,B1803,822
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Machinery & equipment wholesaling,2,total,B1803,384
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Other wholesale trade,2,total,B1803,438
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Retail trade,1,total,B1803,810
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Accommodation & food services,1,total,B1803,273
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Transport, postal, & warehousing",1,total,B1803,306
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Information media & telecommunications,1,total,B1803,213
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Publishing,2,total,B1803,69
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Motion picture,2,total,B1803,57
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Telecommunications,2,total,B1803,84
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Financial & insurance services,1,total,B1803,261
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Finance,2,total,B1803,90
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Insurance,2,total,B1803,27
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Auxiliary,2,total,B1803,147
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Rental, hiring, & real estate services",1,total,B1803,177
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,"Professional, scientific, & technical services",1,total,B1803,1326
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Computer systems design,2,total,B1803,540
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Other professional scientific,2,total,B1803,789
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Administrative & support services,1,total,B1803,267
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Education & training,1,total,B1803,138
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Health care & social assistance,1,total,B1803,486
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Arts & recreation services,1,total,B1803,69
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,Other services,1,total,B1803,114
ICT Support Service: in-house ICT support provided by staff whose primary job is ICT-related,total,0,total,B1803,6564
ICT Support Service: in-house ICT support other staff,total,0,6–19 employees,B1804,6048
ICT Support Service: in-house ICT support other staff,total,0,20–49 employees,B1804,1818
ICT Support Service: in-house ICT support other staff,total,0,50–99 employees,B1804,549
ICT Support Service: in-house ICT support other staff,total,0,100+ employees,B1804,504
ICT Support Service: in-house ICT support other staff,"Agriculture, forestry, & fishing",1,total,B1804,318
ICT Support Service: in-house ICT support other staff,Agriculture,2,total,B1804,171
ICT Support Service: in-house ICT support other staff,Commercial fishing,2,total,B1804,6
ICT Support Service: in-house ICT support other staff,Forestry & logging,2,total,B1804,18
ICT Support Service: in-house ICT support other staff,"Agriculture, forestry, & fishing support services",2,total,B1804,123
ICT Support Service: in-house ICT support other staff,Mining,1,total,B1804,18
ICT Support Service: in-house ICT support other staff,Manufacturing,1,total,B1804,1041
ICT Support Service: in-house ICT support other staff,"Food, beverage, & tobacco",2,total,B1804,216
ICT Support Service: in-house ICT support other staff,"Textile, clothing, footwear, & leather",2,total,B1804,81
ICT Support Service: in-house ICT support other staff,Wood & paper product,2,total,B1804,105
ICT Support Service: in-house ICT support other staff,"Printing, publishing, & recorded media",2,total,B1804,36
ICT Support Service: in-house ICT support other staff,"Petroleum, coal, chemical, & associated product",2,total,B1804,114
ICT Support Service: in-house ICT support other staff,Non-metallic mineral product,2,total,B1804,42
ICT Support Service: in-house ICT support other staff,Metal product,2,total,B1804,114
ICT Support Service: in-house ICT support other staff,Transport and industrial machinery & equipment,2,total,B1804,186
ICT Support Service: in-house ICT support other staff,Other machinery & equipment,2,total,B1804,72
ICT Support Service: in-house ICT support other staff,Other manufacturing,2,total,B1804,69
ICT Support Service: in-house ICT support other staff,"Electricity, gas, water, & waste services",1,total,B1804,54
ICT Support Service: in-house ICT support other staff,Construction,1,total,B1804,1212
ICT Support Service: in-house ICT support other staff,Wholesale trade,1,total,B1804,660
ICT Support Service: in-house ICT support other staff,Machinery & equipment wholesaling,2,total,B1804,177
ICT Support Service: in-house ICT support other staff,Other wholesale trade,2,total,B1804,483
ICT Support Service: in-house ICT support other staff,Retail trade,1,total,B1804,1278
ICT Support Service: in-house ICT support other staff,Accommodation & food services,1,total,B1804,684
ICT Support Service: in-house ICT support other staff,"Transport, postal, & warehousing",1,total,B1804,237
ICT Support Service: in-house ICT support other staff,Information media & telecommunications,1,total,B1804,135
ICT Support Service: in-house ICT support other staff,Publishing,2,total,B1804,51
ICT Support Service: in-house ICT support other staff,Motion picture,2,total,B1804,36
ICT Support Service: in-house ICT support other staff,Telecommunications,2,total,B1804,45
ICT Support Service: in-house ICT support other staff,Financial & insurance services,1,total,B1804,111
ICT Support Service: in-house ICT support other staff,Finance,2,total,B1804,42
ICT Support Service: in-house ICT support other staff,Insurance,2,total,B1804,12
ICT Support Service: in-house ICT support other staff,Auxiliary,2,total,B1804,57
ICT Support Service: in-house ICT support other staff,"Rental, hiring, & real estate services",1,total,B1804,282
ICT Support Service: in-house ICT support other staff,"Professional, scientific, & technical services",1,total,B1804,1452
ICT Support Service: in-house ICT support other staff,Computer systems design,2,total,B1804,333
ICT Support Service: in-house ICT support other staff,Other professional scientific,2,total,B1804,1122
ICT Support Service: in-house ICT support other staff,Administrative & support services,1,total,B1804,303
ICT Support Service: in-house ICT support other staff,Education & training,1,total,B1804,321
ICT Support Service: in-house ICT support other staff,Health care & social assistance,1,total,B1804,582
ICT Support Service: in-house ICT support other staff,Arts & recreation services,1,total,B1804,66
ICT Support Service: in-house ICT support other staff,Other services,1,total,B1804,153
ICT Support Service: in-house ICT support other staff,total,0,total,B1804,8919
ICT Support Service: none of the above,total,0,6–19 employees,B1805,7365
ICT Support Service: none of the above,total,0,20–49 employees,B1805,627
ICT Support Service: none of the above,total,0,50–99 employees,B1805,132
ICT Support Service: none of the above,total,0,100+ employees,B1805,30
ICT Support Service: none of the above,"Agriculture, forestry, & fishing",1,total,B1805,1110
ICT Support Service: none of the above,Agriculture,2,total,B1805,684
ICT Support Service: none of the above,Commercial fishing,2,total,B1805,12
ICT Support Service: none of the above,Forestry & logging,2,total,B1805,87
ICT Support Service: none of the above,"Agriculture, forestry, & fishing support services",2,total,B1805,330
ICT Support Service: none of the above,Mining,1,total,B1805,9
ICT Support Service: none of the above,Manufacturing,1,total,B1805,738
ICT Support Service: none of the above,"Food, beverage, & tobacco",2,total,B1805,261
ICT Support Service: none of the above,"Textile, clothing, footwear, & leather",2,total,B1805,42
ICT Support Service: none of the above,Wood & paper product,2,total,B1805,39
ICT Support Service: none of the above,"Printing, publishing, & recorded media",2,total,B1805,30
ICT Support Service: none of the above,"Petroleum, coal, chemical, & associated product",2,total,B1805,48
ICT Support Service: none of the above,Non-metallic mineral product,2,total,B1805,24
ICT Support Service: none of the above,Metal product,2,total,B1805,108
ICT Support Service: none of the above,Transport and industrial machinery & equipment,2,total,B1805,138
ICT Support Service: none of the above,Other machinery & equipment,2,total,B1805,12
ICT Support Service: none of the above,Other manufacturing,2,total,B1805,33
ICT Support Service: none of the above,"Electricity, gas, water, & waste services",1,total,B1805,21
ICT Support Service: none of the above,Construction,1,total,B1805,1470
ICT Support Service: none of the above,Wholesale trade,1,total,B1805,450
ICT Support Service: none of the above,Machinery & equipment wholesaling,2,total,B1805,78
ICT Support Service: none of the above,Other wholesale trade,2,total,B1805,369
ICT Support Service: none of the above,Retail trade,1,total,B1805,504
ICT Support Service: none of the above,Accommodation & food services,1,total,B1805,2202
ICT Support Service: none of the above,"Transport, postal, & warehousing",1,total,B1805,294
ICT Support Service: none of the above,Information media & telecommunications,1,total,B1805,33
ICT Support Service: none of the above,Publishing,2,total,B1805,18
ICT Support Service: none of the above,Motion picture,2,total,B1805,12
ICT Support Service: none of the above,Telecommunications,2,total,B1805,3
ICT Support Service: none of the above,Financial & insurance services,1,total,B1805,33
ICT Support Service: none of the above,Finance,2,total,B1805,9
ICT Support Service: none of the above,Insurance,2,total,B1805,0
ICT Support Service: none of the above,Auxiliary,2,total,B1805,27
ICT Support Service: none of the above,"Rental, hiring, & real estate services",1,total,B1805,48
ICT Support Service: none of the above,"Professional, scientific, & technical services",1,total,B1805,315
ICT Support Service: none of the above,Computer systems design,2,total,B1805,72
ICT Support Service: none of the above,Other professional scientific,2,total,B1805,246
ICT Support Service: none of the above,Administrative & support services,1,total,B1805,297
ICT Support Service: none of the above,Education & training,1,total,B1805,180
ICT Support Service: none of the above,Health care & social assistance,1,total,B1805,198
